Page,Section,,English,slovenčina ,Remark
Auth - Forgot Password,PAGE HEADER,Page title,Forgot Password,Zabudnuté heslo,
Auth - Forgot Password,PAGE HEADER,Description,Provide your account's email for which you want to reset your password,"Zadajte e-mail účtu, pre ktorý chcete obnoviť heslo",
Auth - Forgot Password,FORM,Label,Email,E-mail,
Auth - Forgot Password,FORM,Placeholder,Enter Email Name,Zadajte e-mail,
Auth - Forgot Password,FORM,Validation message,Email is required,E-mail je povinný,
Auth - Forgot Password,FORM,Button text,Send OTP,Odoslať overovací kód,
Auth - Forgot Password,TOAST MESSAGES,Toast loading message,wait a moment...,Chvíľu počkajte...,
Auth - Forgot Password,TOAST MESSAGES,Toast success message (Note: grammar issue 'To' should be 'to'),OTP sent To your email!,Overovací kód bol odoslaný na váš e-mail!,
Auth - Forgot Password,LINKS,Link text,Back to log in,Späť na prihlásenie,
,,,,,
,,,,,
,,,,,
Auth - Sign In,PAGE HEADER,Page title,Sign In,Prihlásenie,
Auth - Sign In,PAGE HEADER,Description,Welcome back! Please enter your details.,Vitajte späť! Zadajte svoje údaje.,
Auth - Sign In,FORM,Label,Email,E-mail,
Auth - Sign In,FORM,Placeholder,Enter Email Name,Zadajte e-mail,
Auth - Sign In,FORM,Validation message,Email is required,E-mail je povinný,
Auth - Sign In,FORM,Label,Password,Heslo,
Auth - Sign In,FORM,Placeholder,Enter your password,Zadajte svoje heslo,
Auth - Sign In,FORM,Validation message,Password is required,Heslo je povinné,
Auth - Sign In,FORM,Checkbox text,Remember me,Zapamätať si ma,
Auth - Sign In,FORM,Link text,Forgot Password?,Zabudli ste heslo?,
Auth - Sign In,FORM,Button text,Sign In,Prihlásiť sa,
Auth - Sign In,TOAST MESSAGES,Toast loading message,Signing in...,Prebieha prihlasovanie...,
Auth - Sign In,TOAST MESSAGES,Toast success message,Signed in successfully!,Úspešne ste sa prihlásili!,
Auth - Sign In,LINKS,Text,Don't have an account?,Nemáte účet?,
Auth - Sign In,LINKS,Link text,Sign Up,Vytvoriť účet,
