Page,Section,,English,slovenčina ,Remark
Dashboard - My Account Overview,PAGE HEADER,,Welcome back,Vitajte späť,
Dashboard - My Account Overview,PAGE HEADER,Description,Here's what's happening with your orders.,"Tu je prehľad toho, čo sa deje s vašimi objednávkami.",
Dashboard - My Account Overview,OVERVIEW CARDS,Card label,Active Order,Aktívna objednávka,
Dashboard - My Account Overview,OVERVIEW CARDS,Card label,Pending Confirmation,Čaká na potvrdenie,
Dashboard - My Account Overview,OVERVIEW CARDS,Card label,Total Spent,Celková minutá suma,
Dashboard - My Account Overview,OVERVIEW CARDS,Card label,Completed Orders,Dokončené objednávky,
Dashboard - My Account Overview,RECENT ACTIVITY,Section header,Recent Activity,Nedávna aktivita,
Dashboard - My Account Overview,ACTION REQUIRED,Section header,Action Required,Vyžaduje sa akcia ,
Dashboard - My Account Overview,ACTION REQUIRED,Action item,Payment Pending,Čaká sa na platbu,
Dashboard - My Account Overview,ACTION REQUIRED,Action item,Delivery Confirmation,Potvrdenie doručenia,
Dashboard - My Account Overview,ACTION REQUIRED,Action item,Cancel Request,Žiadosť o zrušenie,
Dashboard - My Account Overview,ACTION REQUIRED,Empty state,No actions required right now 🎉,Momentálne nie sú potrebné žiadne akcie 🎉,
,,,,,
,,,,,
,,,,,
Dashboard - Orders,PAGE HEADER,Page title,Orders,Objednávky,
Dashboard - Orders,OVERVIEW CARDS,Card label,Current Order,Aktuálna objednávka,
Dashboard - Orders,OVERVIEW CARDS,Card label,To Confirm,Na potvrdenie,
Dashboard - Orders,OVERVIEW CARDS,Card label,Delivered,Doručené,
Dashboard - Orders,OVERVIEW CARDS,Card label,Pending,Čakajúce,
Dashboard - Orders,TABS,Tab label,Current Order,Aktuálna objednávka,
Dashboard - Orders,TABS,Tab label,Confirm Delivery,Potvrdiť doručenie,
Dashboard - Orders,TABS,Tab label,Delivered,Doručené,
Dashboard - Orders,TABS,Tab label,My Request,Odoslaný formulár,
Dashboard - Orders,TABS,Tab label,Order Offer,Návrh objednávky,
Dashboard - Orders,TABS,Tab label,Pending Payment,Čaká sa na platbu,
Dashboard - Orders,TABS,Tab label,Cancel Confirmation,Potvrdenie zrušenia,
Dashboard - Orders,TABS,Tab label,Cancelled,Zrušené,
Dashboard - Orders,ORDER CARD,Service type label,Photography & Videography,Fotografia a Video,
Dashboard - Orders,ORDER CARD,,Location :,Lokalita:,
Dashboard - Orders,ORDER CARD,Status label,Payment Required,Vyžaduje sa platba,
Dashboard - Orders,ORDER CARD,Status label,In Progress,Prebieha,
Dashboard - Orders,ORDER CARD,Status label,Cancel Requested,Žiadosť o zrušenie odoslaná,
Dashboard - Orders,ORDER CARD,Status label,Extension Requested,Žiadosť o predĺženie odoslaná,
Dashboard - Orders,ORDER CARD,,Delivery Date :,Dátum doručenia:,
Dashboard - Orders,ORDER CARD,,Extended Date :,Predĺžený termín:,
Dashboard - Orders,ORDER CARD,,Extension Reason :,Dôvod predĺženia:,
Dashboard - Orders,ORDER CARD,,Reason:,Dôvod:,
Dashboard - Orders,ORDER CARD,,Cancel By:,Zrušil/a:,
Dashboard - Orders,ORDER CARD,Label,You,Vy,
Dashboard - Orders,ORDER CARD,Button text,View Details,Zobraziť detaily,
Dashboard - Orders,ORDER CARD,Button text,Complete,Dokončiť,
Dashboard - Orders,ORDER CARD,Button text,Accept Order,Prijať objednávku,
Dashboard - Orders,ORDER CARD,Button text,Pay,Zaplatiť,
Dashboard - Orders,ORDER CARD,Button text,Accept,Prijať,
Dashboard - Orders,ORDER CARD,Button text,Reject,Odmietnuť,
Dashboard - Orders,ORDER FORM,Checkbox label,Agree to Terms of Service Conceptural,Súhlasím so všeobecnými obchodnými podmienkami Zmluvné vzťahy,
,,,,,
,,,,,
,,,,,
Dashboard - Professional Overview,OVERVIEW CARDS,Card label,Pending Gear Order,Čakajúca objednávka príslušenstva,
Dashboard - Professional Overview,OVERVIEW CARDS,Card label,Upcoming Events,Plánované objednávky,
Dashboard - Professional Overview,OVERVIEW CARDS,Card label,Earnings,Zárobky,
