Page,Section,,English,slovenčina ,Remark
Home Page,BANNER SECTION,Heading,Capture Your Moments with the Best in the Industry,Zachyťte svoje výnimočné momenty s tými najlepšími,
Home Page,BANNER SECTION,Description,Find skilled photographers and videographers,Nájdite skúsených fotografov a videografov,
Home Page,BANNER SECTION,Description,check their portfolios,pozrite si ich portfóliá,
Home Page,BANNER SECTION,Description,and book your next shoot easily,a jednoducho si objednajte svoje ďalšie fotenie alebo natáčanie,
Home Page,BANNER SECTION,Button,Photographers,Fotografi,
Home Page,BANNER SECTION,Button,Videographers,Kameramani,
Home Page,BANNER SECTION,Image alt text,"alt=""Photographer""","alt=""Fotograf""",
Home Page,BANNER SECTION,Image alt text,"alt=""Videographer""","alt=""Kameraman""",
Home Page,BANNER SECTION,Image alt text,"alt=""Hero Image""","alt=""Hlavný obrázok""",
Home Page,BANNER SECTION,Badge image alt text,"alt=""Frafol Choice Badge""","alt=""Odznak Odporúča Frafol""",
Home Page,BANNER SEARCH,Input placeholder,Search...,Hľadať...,
Home Page,BANNER SEARCH / CARD SLIDER,Accessibility/Screen reader,"aria-label=""Previous media""","aria-label=""Predchádzajúce médium""",
Home Page,BANNER SEARCH / CARD SLIDER,Accessibility/Screen reader,"aria-label=""Next media""","aria-label=""Nasledujúce médium""",
Home Page,BANNER SEARCH / CARD SLIDER,Accessibility/Screen reader,"aria-label=""Pause video""","aria-label=""Pozastaviť video""",
Home Page,BANNER SEARCH / CARD SLIDER,Accessibility/Screen reader,"aria-label=""Play video""","aria-label=""Prehrať video""",
Home Page,BANNER SEARCH / CARD SLIDER,Accessibility/Screen reader,"aria-label=""Unmute video""","aria-label=""Zapnúť zvuk videa""",
Home Page,BANNER SEARCH / CARD SLIDER,Accessibility/Screen reader,"aria-label=""Mute video""","aria-label=""Stlmiť video""",
Home Page,BANNER SEARCH / CARD SLIDER,Accessibility/Screen reader,"aria-label=""Go to slide 1""","aria-label=""Prejsť na snímku 1""",
Home Page,BANNER SEARCH / CARD SLIDER,Accessibility/Screen reader,"aria-label=""Go to slide 2""","aria-label=""Prejsť na snímku 2""",
Home Page,BANNER SEARCH / CARD SLIDER,Image alt text,"alt=""Intro Video""","alt=""Úvodné video""",
Home Page,BANNER SEARCH / CARD SLIDER,Image alt text,"alt=""Banner""","alt=""Banner""",
Home Page,BANNER SEARCH / CARD SLIDER,Image alt text,"alt=""Gallery""","alt=""Galéria""",
Home Page,BANNER SEARCH / CARD SLIDER,Image alt text,"alt=""Profile""","alt=""Profil""",
Home Page,BANNER SEARCH / CARD SLIDER,Image alt text,"alt=""Dummy Profile""","alt=""Ukážkový profil""",
Home Page,FRAFOL CHOICE PROFESSIONALS SECTION,Section header title,Frafol Choice Professionals,Odporúča Frafol,
Home Page,FRAFOL CHOICE PROFESSIONALS SECTION,Section header description,Discover our verified photographers and videographers,Objavte našich overených fotografov a videografov,
Home Page,FRAFOL CHOICE PROFESSIONALS SECTION,Button,See More,Zobraziť viac,
Home Page,FEATURED PROFESSIONAL CARD,Badge text,Frafol Choice,Odporúča Frafol,
Home Page,FEATURED PROFESSIONAL CARD,Role label,Videographer & Photographer,Fotograf a Kameraman,
Home Page,FEATURED PROFESSIONAL CARD,Role label,Photographer,Fotograf,
Home Page,FEATURED PROFESSIONAL CARD,Role label,Videographer,Kameraman,
Home Page,EXPLORE CATEGORIES SECTION,Section header title,Explore Categories,Preskúmajte kategórie,
Home Page,EXPLORE CATEGORIES SECTION,Section header description,Frafol makes it easy to find and hire the perfect photographer or videographer for your project.,Frafol vám uľahčí nájsť a objednať si ideálneho fotografa alebo videografa pre váš projekt.,
Home Page,EXPLORE CATEGORIES SECTION,Tab label,Photography,Fotografia,
Home Page,EXPLORE CATEGORIES SECTION,Tab label,Videography,Video,
Home Page,EXPLORE CATEGORIES SECTION,Button,See All Categories,Zobraziť všetky kategórie,
Home Page,EXPLORE CATEGORIES SECTION,Card fallback/alt,Category Title,Názov kategórie,
Home Page,EXPLORE CATEGORIES SECTION,Card fallback,Category Sub Title,Podnadpis kategórie,
Home Page,EXPLORE CATEGORIES SECTION,Image alt fallback,Category Image,Obrázok kategórie,
Home Page,FEATURED PROFESSIONALS SECTION,Section header title,Featured Professionals,Odporúčaní fotografi a kameramani,
Home Page,FEATURED PROFESSIONALS SECTION,Section header description,Discover our top-rated photographers and videographers,Objavte našich najlepšie hodnotených fotografov a kameramanov,
Home Page,FEATURED PROFESSIONALS SECTION,Button,See All Professionals,Zobraziť všetkých fotografov a kameramanov,
Home Page,HOW IT WORKS SECTION,Section header title,How It Works,Ako to funguje,
Home Page,HOW IT WORKS SECTION,Section header description,Frafol makes it easy to find and hire the perfect photographer or videographer for your project.,Frafol vám uľahčí nájsť a objednať si ideálneho fotografa alebo videografa pre váš projekt.,
Home Page,HOW IT WORKS SECTION,Step name,Search,Hľadať,
Home Page,HOW IT WORKS SECTION,Step description,Browse through our collection of photographers and videographers or use our search to find the perfect match.,Prezrite si ponuku fotografov a kameramanov alebo si jednoducho vyhľadajte toho pravého,
Home Page,HOW IT WORKS SECTION,Step name,Book,Rezervujte,
Home Page,HOW IT WORKS SECTION,Step description,Schedule a meeting,Dohodnite si stretnutie,
Home Page,HOW IT WORKS SECTION,Step description,discuss your project details and confirm your booking with your chosen professional.,preberte detaily projektu a potvrďte objednávku s vybraným profesionálom.,
Home Page,HOW IT WORKS SECTION,Step name,Shoot,Fotenie/natáčanie,
Home Page,HOW IT WORKS SECTION,Step description,Meet with your professional and let them capture amazing images or videos for your project.,Stretnite sa s vybraným fotografom alebo kameramanom a nechajte si vytvoriť fotografie či videá pre svoj projekt.,
Home Page,HOW IT WORKS SECTION,Step name,Receive,Prevziať,
Home Page,HOW IT WORKS SECTION,Step description,Get your edited photos or videos and provide feedback on your experience with the professional.,Získajte upravené fotografie alebo videá a ohodnoťte svoju skúsenosť.,
Home Page,MARKETPLACE SECTION,Section header title,Marketplace,Bazár,
Home Page,MARKETPLACE SECTION,Section header description,Browse and buy equipment from professionals in the industry.,Prezrite si ponuku príslušenstva a nakúpte od fotografov a kameramanov.,
Home Page,MARKETPLACE SECTION,Button,View All,Zobraziť všetko,
Home Page,MARKETPLACE SECTION,Badge text (dynamic percentage),VAT Included: %,Vrátane DPH: %,
Home Page,MARKETPLACE SECTION,Product field label/heading,Category:,Kategória:,
Home Page,MARKETPLACE SECTION,Product field label/heading,Seller:,Predajca:,
Home Page,MARKETPLACE SECTION,Product field label/heading,Condition:,Stav:,
Home Page,MARKETPLACE SECTION,Image alt text,"alt=""product""","alt=""Produkt""",
Home Page,MARKETPLACE SECTION,Button,Add To Cart,Pridať do košíka,
Home Page,MARKETPLACE SECTION,Truncation indicator,...,...,
Home Page,TESTIMONIAL SECTION,Section header title part 1,Their Experience,Ich skúsenosť,
Home Page,TESTIMONIAL SECTION,Section header title part 2,In Their Words,Ich slovami,
Home Page,TESTIMONIAL SECTION,Section header description,Hear from clients who found their perfect visual professional through our platform,"Prečítajte si skúsenosti klientov, ktorí si cez našu platformu našli ideálneho fotografa alebo kameramana.",
Home Page,TESTIMONIAL CARD,Button,Show more,Zobraziť viac,
